company_raw,company_norm,count
VIVA LA VIKA / CHOUX,viva la vika choux,1
VIVA LA VIKA/CHOUX,viva la vika choux,1
VK,VK,1
VMT,VMT,1
Vellestroy LLC,vellestroy,1
Vention,vention,1
Vigor Maker,vigor maker,1
VkusVill,vkusvill,1
Volkswagen AG,volkswagen ag,1
WN Talents,wn talents,1
Walls.io,walls io,1
Welltory,welltory,1
Wildberries,wildberries,1
Women in Tech Spain,women in tech spain,1
X,Not specified,1
X5 Digital,x5 digital,1
XLASH Russia,xlash russia,1
XSAT GLOBAL,xsat global,1
Yango (Yango Ads),yango yango ads,1
ZION Development --- FinTech software development (under NDA),zion development fintech software development under nda,1
Zamwell Capital,zamwell capital,1
Zentek Services GmbH \& Co.,zentek services and,1
ZmeuSolutions Inc. (Online Education Start-Up),zmeusolutions online education start up,1
Zodiac Интерьер\&Керамика,zodiac интерьер and керамика,1
beeline Russia,beeline russia,1
"ecom.tech (Самокат, ООО «Умное пространство»)",ecom tech самокат умное пространство,1
makelove employer branding agency,makelove employer branding agency,1
stroyportal.ru,stroyportal ru,1
uForce,uforce,1
ubq.store,ubq store,1
Ёлва,ЕЛВА,1
А101 диджитал,а101 диджитал,1
АЙФЭЛЛ (iFellow),аифэлл ifellow,1
АНО «Центр поддержки и развития детских и молодёжных проектов «Твое Время»,ано центр поддержки и развития детских и молодежных проектов твое время,1
АО ``Группа компаний ``ЕКС'',группа компании екс,1
АО ``Гулливер'',гулливер,1
АО ``Эволента'',эволента,1
АО «ГалоПолимер»,галополимер,1
АО «ИНЛАЙН ГРУП»,инлаин груп,1
АО «Компания ТрансТелеКом» (контур РЖД),компания транстелеком контур ржд,1
АО «Раменское приборостроительное конструкторское бюро»,раменское приборостроительное конструкторское бюро,1
АО «СПЕЦХИМИЯ» (ГК Ростех),спецхимия гк ростех,1
АО «Спецхимия» (ГК Ростех),спецхимия гк ростех,1
АО Ланцет,ланцет,1
АО Трест-СЗМА,трест сзма,1
АРПИ / ИК РЕГИОН,арпи ик регион,1
Авито,Avito,1
Банк,БАНК,1
Банк ВТБ (ПАО),ВТБ,1
Би-Джи-Си Партнерс Си-Ай-Эс,би джи си партнерс си аи эс,1
"Будущее технологий, ООО (Холдинг Т1, ГК Иннотех)",будущее технологии холдинг т1 гк иннотех,1
ВП МО РФ,вп мо рф,1
ГК «ТампоМеханика»,гк тампомеханика,1
ГК Факт,гк факт,1
Газпромнефть --- цифровые решения (цифровые решения для нефтедобычи),газпромнефть цифровые решения цифровые решения для нефтедобычи,1
Государственный театр наций,государственныи театр нации,1
Грин Стрим Инжиниринг Групп,грин стрим инжиниринг групп,1
Группа компаний (офис в Москва-Сити),группа компании офис в москва сити,1
Группа компаний IEK,группа компании iek,1
Группа компаний ``Сигма Марин Технолоджи'',группа компании сигма марин технолоджи,1
Группа компаний «Базовые решения»,группа компании базовые решения,1
Группа компаний Техпривод,группа компании техпривод,1
ДОМ.РФ,ДОМ.РФ,1
Делис Инфо,делис инфо,1
Директор проектного департамента,директор проектного департамента,1
Дом.ру,дом ру,1
"Др.\ Редди'c Лабораторис, ООО",др редди c лабораторис,1
ЗАО ``Дзеньги'' (FinTech),дзеньги fintech,1
ЗАО «Банковско-финансовая телесеть»,банковско финансовая телесеть,1
ИВА,ИВА,1
ИП Екатерина Волкова (онлайн-образовательный проект «НАМАСТЕ»),екатерина волкова онлаин образовательныи проект намасте,1
ИТ Мастерс,ит мастерс,1
Индивидуальное предпринимательство / частная практика / фриланс,индивидуальное предпринимательство частная практика фриланс,1
КОМУС,Komus,1
Компания (розничная торговля / интернет-магазин автозапчастей),компания розничная торговля интернет магазин автозапчастеи,1
Компания 1,компания 1,1
Компания Индид,компания индид,1
Компьютерные системы для бизнеса (CSBI),компьютерные системы для бизнеса csbi,1
Корпорация Туризм.РФ,корпорация туризм рф,1
