token_norm,count,token_display
marketing strategy (atl/btl/digital,1,Marketing Strategy (Atl/Btl/Digital
government relations,1,Government Relations
hris (sap successfactors,1,Hris (Sap Successfactors
c/c++,1,C/C++
c#/.net,1,C#/.Net
1c: бухгалтерия,1,1C: Бухгалтерия
notebooklm,1,Notebooklm
digital assets regulation,1,Digital Assets Regulation
power bi (dashboards,1,Power Bi (Dashboards
agile (scrum,1,Agile (Scrum
mobile (ios/android,1,Mobile (Ios/Android
erp,1,Erp
iot,1,Iot
api,1,Api
youtrack,1,Youtrack
fintech & digital assets regulation,1,Fintech & Digital Assets Regulation
яндекс.метрика,1,яндекс.метрика
appmagic,1,Appmagic
superset,1,Superset
azure data factory / synapse pipelines,1,Azure Data Factory / Synapse Pipelines
macroscop,1,Macroscop
sigur,1,Sigur
trassir,1,Trassir
perco,1,Perco
docsvision,1,Docsvision
спарк,1,спарк
контур-фокус,1,контур-фокус
credinform,1,Credinform
integrum,1,Integrum
django rest framework (drf,1,Django Rest Framework (Drf
mysql (базовыи уровень,1,Mysql (Базовыи Уровень
sqlite (базовыи уровень,1,Sqlite (Базовыи Уровень
basic sql,1,Basic Sql
git/github,1,Git/Github
digital products & learning experiences,1,Digital Products & Learning Experiences
governed self-service (git,1,Governed Self-Service (Git
integration (sap s/4hana,1,Integration (Sap S/4Hana
azure synapse,1,Azure Synapse
azure sql,1,Azure Sql
github ci/cd,1,Github Ci/Cd
pmo (governance,1,Pmo (Governance
e-commerce (bitrix,1,E-Commerce (Bitrix
style guides (google,1,Style Guides (Google
grok,1,Grok
nanobanana,1,Nanobanana
algo trading,1,Algo Trading
data governance (dama,1,Data Governance (Dama
governance maturity assessment,1,Governance Maturity Assessment
google suite,1,Google Suite
data governance & metadata management,1,Data Governance & Metadata Management
ci/cd pipelines,1,Ci/Cd Pipelines
bi-аналитика и дашборды (power bi,1,Bi-Аналитика И Дашборды (Power Bi
pmo governance & operating models,1,Pmo Governance & Operating Models
digital transformation delivery,1,Digital Transformation Delivery
digital,1,Digital
digital capabilities building,1,Digital Capabilities Building
owned media  social media governance,1,Owned Media  Social Media Governance
owned media & social media governance,1,Owned Media & Social Media Governance
r2r / o2c / p2p process excellence,1,R2R / O2C / P2P Process Excellence
erp/crm/bi migrations (sap,1,Erp/Crm/Bi Migrations (Sap
kubernetes (k8s,1,Kubernetes (K8S
erp: sap,1,Erp: Sap
yango ads,1,Yango Ads
kling,1,Kling
veo 3,1,Veo 3
runway,1,Runway
ip governance (trademarks,1,Ip Governance (Trademarks
pmo uplift and governance,1,Pmo Uplift And Governance
process digitisation and workflow automation,1,Process Digitisation And Workflow Automation
dashboards and reporting (power bi,1,Dashboards And Reporting (Power Bi
project governance,1,Project Governance
методологии: agile (scrum,1,Методологии: Agile (Scrum
pm 2,1,Pm 2
p3.express,1,P3.Express
autocad,1,Autocad
google tag manager,1,Google Tag Manager
hr analytics & dashboards (power bi,1,Hr Analytics & Dashboards (Power Bi
hr tech (sap,1,Hr Tech (Sap
digital upskilling (data,1,Digital Upskilling (Data
learning analytics (power bi,1,Learning Analytics (Power Bi
governance & stakeholder management,1,Governance & Stakeholder Management
contract negotiation (msa,1,Contract Negotiation (Msa
kpi design & reporting (excel,1,Kpi Design & Reporting (Excel
oracle pl/sql,1,Oracle Pl/Sql
risk governance & board reporting,1,Risk Governance & Board Reporting
gdpr & privacy governance (cipp/e,1,Gdpr & Privacy Governance (Cipp/E
primavera,1,Primavera
java (6--21,1,Java (6--21
solidworks,1,Solidworks
webtutor,1,Webtutor
governance/комитеты,1,Governance/Комитеты
java (8/11/17,1,Java (8/11/17
due diligence объектов недвижимости,1,Due Diligence Объектов Недвижимости
сделки с недвижимостью (купля-продажа,1,сделки с недвижимостью (купля-продажа
будущая вещь,1,будущая вещь
ипотека,1,ипотека
сервитуты,1,сервитуты
земельное и градостроительное право (пзз,1,земельное и градостроительное право (пзз
ври,1,ври
quality engineering strategy & governance,1,Quality Engineering Strategy & Governance
