company,count,share_%
AFI Development,1,0.1
BramblingTech,1,0.1
BeamTrail,1,0.1
АЙФЭЛЛ (iFellow),1,0.1
Schwarz IT KG,1,0.1
Smoove,1,0.1
Migron,1,0.1
HUAWEI,1,0.1
Элком-электро,1,0.1
Ernst & Young,1,0.1
Softeq,1,0.1
Tengizchevroil,1,0.1
Группа компаний «Базовые решения»,1,0.1
"Astro7 (бренды Astro7, Aura7)",1,0.1
Confidential,1,0.1
TBC Uzbekistan (Финтех),1,0.1
Cinematic Pixel,1,0.1
SolaaX,1,0.1
Okkam (ex. Dentsu),1,0.1
Million Miles Method,1,0.1
Avo Bank (avo.uz),1,0.1
Gigalegal,1,0.1
Restaurant and Cafe Chain,1,0.1
Группа компаний Техпривод,1,0.1
"ООО ""ЛАНИТ-Интеграция""",1,0.1
NSYS Group,1,0.1
DAR,1,0.1
Rembox,1,0.1
Компания (розничная торговля / интернет-магазин автозапчастей),1,0.1
makelove employer branding agency,1,0.1
Miro (Collaboration platform),1,0.1
Школа программирования 21,1,0.1
Ortalex (консалтинг),1,0.1
Rolf Tech,1,0.1
ПАО «Мосэнерго»,1,0.1
FLATLOGIC (Web and Mobile Development),1,0.1
IT Project Manager (Contract Assignments),1,0.1
Independent QA Projects,1,0.1
INVITRO,1,0.1
"ENECA, отдел ""Искусственного интеллекта""",1,0.1
"Free Zone Authority, Government of Ajman",1,0.1
JSC SberTech,1,0.1
Компания 1,1,0.1
Alibaba Group (Logistics branch),1,0.1
SaM Solutions,1,0.1
Moots AI,1,0.1
NCR Voyix,1,0.1
A&K American Educational Consulting (американский EdTech startup),1,0.1
Дом.ру,1,0.1
SCENTSCAPE,1,0.1
"Obed.ru (foodtech startup), subsidiary of Vkusvill",1,0.1
"ООО ""Воланта"" (кадровое агентство, стартап)",1,0.1
Glambook,1,0.1
"Large diversified holding (Top-50 Forbes), NDA",1,0.1
NeoFleet Capital,1,0.1
Tet SIA,1,0.1
NLMK Group (iron and steel production),1,0.1
Группа компаний Innostage (ИБ/ИТ интегратор),1,0.1
Riverbank S.A.,1,0.1
Atos Poland Global Services,1,0.1
VK,1,0.1
"Крупный многопрофильный холдинг (ТОП-50 Forbes), NDA",1,0.1
Company LLC,1,0.1
Грин Стрим Инжиниринг Групп,1,0.1
"АО ""Группа компаний ""ЕКС""",1,0.1
Корпорация Туризм.РФ,1,0.1
LLC GISGIS,1,0.1
Invitae Corp (via QuantumSoft LLC),1,0.1
McDonald's,1,0.1
Zodiac Интерьер&Керамика,1,0.1
Kontur,1,0.1
ООО «АльдераСофт»,1,0.1
Поток.Диджитал (ex. Alfa Potok),1,0.1
Zentek Services GmbH 	26 Co.,1,0.1
Paynet,1,0.1
Insilico Medicine,1,0.1
M Cosmetic Узбекистан (ПАО Магнит),1,0.1
Компьютерные системы для бизнеса (CSBI),1,0.1
Группа компаний Innostage,1,0.1
ГК «ТампоМеханика»,1,0.1
КМГ Кашаган БВ,1,0.1
Kokoc Group,1,0.1
ILF Consulting Engineers,1,0.1
"Central Aerohydrodynamic Institute (TsAGI), Strength & Durability Division",1,0.1
Bcraft,1,0.1
Яндекс,1,0.1
HeadHunter Group,1,0.1
AVB Invest,1,0.1
Sibelco,1,0.1
"Hyperboloid, Inc",1,0.1
AVO Bank (Uzbekistan),1,0.1
Компания Индид,1,0.1
Авито,1,0.1
Professional Development,1,0.1
A1,1,0.1
Pick Your Pour,1,0.1
Cloud.ru,1,0.1
Provider of digital solutions to transform the vehicle conversion market,1,0.1
Феодальная сеть баров (62 бара в России и СНГ),1,0.1
TİTAN2 IC İÇTAŞ İNŞAAT,1,0.1
PROMAVTO Group --- R&D Center,1,0.1
Potok.digital (ex Alfa.Potok),1,0.1
IvAlive Foundation,1,0.1
АРПИ / ИК РЕГИОН,1,0.1
"Manticore Search (open-source search engine, 11.6K GitHub stars)",1,0.1
TUMO Labs,1,0.1
ProIntegracia LLC,1,0.1
АО Трест-СЗМА,1,0.1
"Project-Based Advisor (EdTech, HRTech, Startup Acceleration)",1,0.1
Andersenlab,1,0.1
Airport Management Company Ltd,1,0.1
"ОАО ""Бизнес Партнер"" (JSC ""Business Partner"")",1,0.1
Газпромнефть --- цифровые решения (цифровые решения для нефтедобычи),1,0.1
Big Data engineering,1,0.1
XLASH Russia,1,0.1
Digital Industrial Technologies,1,0.1
Hewlett Packard Enterprise,1,0.1
"Проекты (UAE, Singapore)",1,0.1
CIAN,1,0.1
Civitta CA,1,0.1
Novaterm LLC (производство отопительного оборудования),1,0.1
"Krieger Digital (E-commerce, Hoeffner.de etc)",1,0.1
"ООО ""Лонг Кэт""",1,0.1
