user_hash,last_end_date,months_since_last_end,last_company_norm,last_job_title
79c47d9745,2024-12-01,14.0,международныи университет митсо,Верификатор / валидатор данных
7a399a2fda,2024-12-01,14.0,astrum entertainment,Технический директор
46d3662205,2026-01-01,1.0,fingular,Senior Delivery Manager --- Cash Loans
f2452b9511,2025-05-01,9.0,автобеис,"Исполнительный директор (P&L, реализация стратегии)"
6399494e1a,2026-01-01,1.0,проекты uae singapore,"Руководитель проектов по IFRS, аудиту и налоговому комплаенсу"
cc0ae48b9e,2025-07-01,7.0,xlash russia,Операционный директор (контур финансов и управляемости)
c142ce1c88,2025-07-01,7.0,газпромнефть цифровые решения цифровые решения для нефтедобычи,Менеджер технической поддержки
a751c9a6c6,2023-09-01,29.0,philosophy it,Lead Consultant
d8114a3800,2025-12-01,2.0,union ai saas,Business Analyst
c720b2ec2a,2025-05-01,9.0,компания транстелеком контур ржд,Директор филиала
6e50add8d4,2024-09-01,17.0,гк факт,Финансовый директор группы компаний
c53f1b5c80,2024-12-01,14.0,государственныи театр нации,Старший администратор
dcf9073c42,2025-10-01,4.0,japan tobacco international,"Sales & Marketing Director, Ural Region"
ee362d0fda,2025-06-01,8.0,нк роснефть,Директор Департамента инвестиционного планирования и контроля
56f0788f1c,2025-12-01,2.0,илада груп,Коммерческий директор (CCO)
c097f8cbfe,2023-09-01,29.0,sk hynix memory solutions eastern europe,PR & CSR Manager
89680a5351,2024-12-01,14.0,raiffeisenbank,Директор дополнительного офиса (с 10.2014); ранее: менеджер/старший менеджер отделения (04.2008--10.2014)
4cf27276fd,2025-05-01,9.0,автоэксперт,Разработчик бекэнда
85a2ba6171,2025-05-01,9.0,softswiss,Support Agent
8e581e8148,2023-12-01,26.0,airport management,Service Delivery Manager / Scrum Master
bcd65e9cc8,2025-12-01,2.0,project based advisor edtech hrtech startup acceleration,Advisor / Product & Operations
bf0f36b9e6,2025-10-01,4.0,трест сзма,Начальник управления УМТО
65392e23c3,2025-12-01,2.0,поток диджитал ex alfa potok,Директор по рискам и аналитике
155f1fcd3b,2025-11-01,3.0,Сбер,Менеджер продукта
d3d44f9847,2025-08-01,6.0,mcdonald s,Project / Operations Manager
45820fd365,2025-12-01,2.0,группа компании екс,Руководитель отдела корпоративного контроля
7a7c3ac229,2025-12-01,2.0,грин стрим инжиниринг групп,Заместитель генерального директора
98bb868570,2026-01-01,1.0,крупныи многопрофильныи холдинг топ 50 forbes nda,Генеральный директор / член правления (проект)
ccab556039,2025-10-01,4.0,atos poland global services,Project Manager
f900bdafe5,2024-06-01,20.0,группа компании innostage иб ит интегратор,Коммерческий директор группы компаний
266520f65d,2026-01-01,1.0,large diversified top 50 forbes nda,Chief Executive Officer / Management Board Member (Project)
20872a534b,2024-06-01,20.0,группа компании innostage,Коммерческий директор группы компаний
9dfa7a74c9,2025-05-01,9.0,glambook,QA Engineer
ae20474b63,2025-08-01,6.0,гк тампомеханика,"Директор по маркетингу (рост от руководителя отдела маркетинга и рекламы, 2006--2007)"
ef589ef726,2025-12-01,2.0,prointegracia,Integration Manager
0651420337,2025-12-01,2.0,ivalive foundation,Operations Manager
5f3f24222d,2025-10-01,4.0,titan2 ic ictas insaat,Head of People Operations
2ff629c2e9,2026-01-01,1.0,феодальная сеть баров 62 бара в россии и снг,"Директор по экономической и информационной безопасности (команда 25+, NDA, подчинение собственнику)"
c7e09f5b64,2025-01-01,13.0,A1,Руководитель группы обучения и развития персонала
3806bcfdc3,2026-01-01,1.0,Avito,Руководитель по работе с процессами и проектами (C&B/HR ADM) | Руководитель процессного офиса HR
0f5c26afc5,2025-12-01,2.0,revizto global bim collaboration platform,Head of Video Production (07.2024 - 12.2025)
c07ef8ed51,2025-12-01,2.0,sibelco,Power BI / Fabric Consultant (Contract)
79c9423dc0,2022-12-01,38.0,central aerohydrodynamic institute tsagi strength and durability division,Research Engineer -- Structural Durability
eb9e359948,2021-03-01,59.0,ilf consulting engineers,Senior Project Engineer / PMC Interface Focal Point
2b7fcca4a3,2025-03-01,11.0,ikano centres ikano retail ikea,Development Manager / Head of Development
